source_language,age,gender,experience_years,monthly_salary_eur,annual_income_eur,income_change_pct,company,company_type,company_type_en,role,role_en,role_group,education,education_en,education_level,office_city,location_category,office_time_percent,salary_competitive
fi,26_30,,3.0,2500.0,,20.0,,julkinen tai kolmas sektori,public_sector,,,other,fm,msc (science),master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,1.0,true
fi,36_40,male,20.0,6600.0,80000.0,0.0,,konsulttitalossa,consulting,principal architect,principal architect,architect,,,unknown,"pk-seutu (helsinki, espoo, vantaa)",capital_region,20.0,true
fi,46_50,male,8.0,7050.0,88125.0,,,konsulttitalossa,consulting,software architect,software architect,architect,fm tietojenkäsittely,fm tietojenkäsittely,master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,90.0,true
fi,31_35,male,7.0,5790.0,69000.0,3.0,,konsulttitalossa,consulting,fullstack developer/konsultti,fullstack developer/konsultti,software_developer_engineer,luonnontieteiden kandidaatti,bsc (natural sciences),bachelor,tampere,rest_of_finland,5.0,true
fi,36_40,male,19.0,6900.0,86250.0,0.0,,"yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",enterprise,digital manager,digital manager,management_leadership,ylioppilas,high school (ylioppilas),secondary_or_less,tampere,rest_of_finland,95.0,true
fi,36_40,male,20.0,8000.0,200000.0,0.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,software engineer,software engineer,software_developer_engineer,tietojenkäsittelytieteen kandi,tietojenkäsittelytieteen kandi,master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,100.0,true
fi,36_40,,4.0,4900.0,61250.0,5.0,,konsulttitalossa,consulting,full stack developer,full stack developer,software_developer_engineer,fm tkt,fm tkt,master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,2.0,true
fi,31_35,female,10.0,5900.0,77000.0,3.0,,konsulttitalossa,consulting,fullstack,fullstack,software_developer_engineer,tradenomi,bachelor's business (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,20.0,true
fi,31_35,male,9.0,6350.0,0.0,2.0,,konsulttitalossa,consulting,senior software developer / team lead,senior software developer / team lead,lead_developer,it-tradenomi,bachelor's it (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,30.0,true
fi,26_30,male,5.0,4000.0,48000.0,14.29,,"tuotetalossa, jonka core-bisnes on softa",product_company,lead developer,lead developer,lead_developer,kesken jäänyt tietotekniikan di-tutkinto,kesken jäänyt tietotekniikan di-tutkinto,master,kuopio,rest_of_finland,0.0,false
fi,41_45,male,20.0,5300.0,67000.0,10.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,test automation specialist,test automation specialist,software_developer_engineer,amk,bachelor's (amk),bachelor,tampere,rest_of_finland,0.0,true
fi,36_40,male,15.0,5700.0,75000.0,4.0,,"yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",enterprise,solution architect,solution architect,architect,amk,bachelor's (amk),bachelor,vaasa,rest_of_finland,80.0,false
fi,26_30,male,4.0,5000.0,60000.0,20.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,xr developer,xr developer,software_developer_engineer,lukio,high school,secondary_or_less,"pk-seutu (helsinki, espoo, vantaa)",capital_region,0.0,true
fi,41_45,male,14.0,6320.0,80000.0,0.0,bradley's digital,konsulttitalossa,consulting,senior software developer,senior software developer,senior_developer,tietotekniikan di-opiskelija,tietotekniikan di-opiskelija,master,tampere,rest_of_finland,5.0,true
fi,26_30,,8.0,5485.5,,3.0,,konsulttitalossa,consulting,senior consultant | full stack developer,senior consultant | full stack developer,senior_developer,tietotekniikan di,tietotekniikan di,master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,20.0,true
fi,41_45,male,10.0,7000.0,95000.0,3.0,,"yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",enterprise,cloud architect,cloud architect,devops_infrastructure,diplomi-insinööri,msc (engineering),master,tampere,rest_of_finland,5.0,true
fi,31_35,female,9.0,5760.0,0.0,4.0,,julkinen tai kolmas sektori,public_sector,frontend developer,frontend developer,software_developer_engineer,it-tradenomi,bachelor's it (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,20.0,true
fi,31_35,male,11.0,6800.0,94884.0,15.0,smartly.io,"tuotetalossa, jonka core-bisnes on softa",product_company,lead full-stack software engineer,lead full-stack software engineer,lead_developer,tradenomi,bachelor's business (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,50.0,true
fi,36_40,,13.0,6300.0,,,,"tuotetalossa, jonka core-bisnes on softa",product_company,software developer,software developer,software_developer_engineer,kandidaatti,bachelor's degree,bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,10.0,true
fi,41_45,female,17.0,6500.0,150000.0,3.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,engineering team lead,engineering team lead,lead_developer,luk (tietojenkäsittelytiede),luk (tietojenkäsittelytiede),other,"pk-seutu (helsinki, espoo, vantaa)",capital_region,50.0,true
fi,36_40,male,7.0,6500.0,78000.0,0.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,senior software developer,senior software developer,senior_developer,"tradenomi, amk, tietojenkäsittely",bachelor's (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,20.0,50/50
fi,36_40,male,7.0,4315.0,55000.0,7.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,,,other,amk,bachelor's (amk),bachelor,tampere,rest_of_finland,5.0,
fi,36_40,male,9.0,4500.0,54000.0,5.0,,konsulttitalossa,consulting,senior backend developer,senior backend developer,senior_developer,"tradenomi, tietojenkäsittely","tradenomi, tietojenkäsittely",bachelor,tampere,rest_of_finland,90.0,false
fi,26_30,male,7.0,6450.0,95000.0,10.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,fullstack js developer,fullstack js developer,software_developer_engineer,melkein tietotekniikan maisteri,master's degree,master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,80.0,true
fi,26_30,male,8.0,5250.0,5250.0,6.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,senior mobile developer,senior mobile developer,senior_developer,"luonnontieteiden kandidaatti, tietojenkäsittelytiede",bachelor's degree,bachelor,tampere,rest_of_finland,2.5,true
fi,26_30,female,7.5,7500.0,96000.0,0.0,,konsulttitalossa,consulting,lead developer (full-stack),lead developer (full-stack),lead_developer,"tekniikan ylioppilas (yliopisto tkt, ei tutkintoa otettu ulos)",high school,secondary_or_less,oulu,rest_of_finland,40.0,true
fi,41_45,,24.0,8800.0,,20.0,,konsulttitalossa,consulting,,,other,yamk,bachelor's (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,10.0,true
fi,36_40,male,12.0,5700.0,72000.0,7.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,full stack developer,full stack developer,software_developer_engineer,diplomi-insinööri,msc (engineering),master,tampere,rest_of_finland,40.0,true
fi,26_30,male,9.0,4200.0,50400.0,0.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,full-stack developer,full-stack developer,software_developer_engineer,amk,bachelor's (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,0.0,false
fi,41_45,male,3.0,3800.0,47500.0,5.0,,konsulttitalossa,consulting,software engineer,software engineer,software_developer_engineer,amk,bachelor's (amk),bachelor,oulu,rest_of_finland,50.0,false
fi,46_50,male,23.0,7800.0,97500.0,1.0,,konsulttitalossa,consulting,backend developer,backend developer,software_developer_engineer,amk,bachelor's (amk),bachelor,oulu,rest_of_finland,50.0,true
fi,31_35,female,12.0,5000.0,65000.0,3.0,,konsulttitalossa,consulting,"web developeriaa vastuullisempi duuni, ei esihenkilö tai tulosvastuuta","web developeriaa vastuullisempi duuni, ei esihenkilö tai tulosvastuuta",data_ml_analytics,"maisteri, insinööri, yamk",bachelor's engineering (amk),bachelor,tampere,rest_of_finland,5.0,true
fi,31_35,male,7.0,3600.0,43400.0,3.0,atr soft oy,konsulttitalossa,consulting,"fullstack software developer, ai expert","fullstack software developer, ai expert",data_ml_analytics,tietotekniikan insinööri (amk),bachelor's engineering (amk),bachelor,turku,rest_of_finland,50.0,false
fi,36_40,male,17.0,8600.0,125000.0,15.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,lead developer,lead developer,lead_developer,fm (tietojenkäsittelytiede),msc (computer science),master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,90.0,true
fi,36_40,male,12.0,6500.0,81250.0,25.0,,konsulttitalossa,consulting,backend developer,backend developer,software_developer_engineer,diplomi-insinööri,msc (engineering),master,turku,rest_of_finland,0.0,true
fi,36_40,male,15.0,6900.0,167000.0,0.0,,konsulttitalossa,consulting,senior software developer,senior software developer,senior_developer,ylioppilas,high school (ylioppilas),secondary_or_less,turku,rest_of_finland,0.0,true
fi,36_40,male,15.0,5670.0,71000.0,0.0,reaktor,konsulttitalossa,consulting,senior software developer / devops engineer,senior software developer / devops engineer,senior_developer,yliopisto,university (unspecified),other,tampere,rest_of_finland,80.0,50/50
fi,41_45,male,4.0,4800.0,60000.0,30.0,sok,"yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",enterprise,full stack developer,full stack developer,software_developer_engineer,amk insinööri,bachelor's engineering (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,40.0,true
fi,46_50,male,18.0,7300.0,,4.0,reaktor,konsulttitalossa,consulting,machine learning engineer,machine learning engineer,data_ml_analytics,valtiotieteen maisteri,master's degree,master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,99.0,true
fi,46_50,male,20.0,4515.0,57000.0,1.0,,konsulttitalossa,consulting,projektipäällikkö,projektipäällikkö,other,ammattikorkeakoulu,bachelor's (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,15.0,false
